record_no,evidence_status,workflow,run_id,run_number,run_attempt,event,status,conclusion,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,first_actual_error,error_source,run_url,job_coordinate
44,VERIFIED_TRUE,Gatekeeper,30218759144,136,1,pull_request,completed,failure,2026-07-26T20:20:25Z,2026-07-26T20:20:33Z,agent/open-source-upload-evidence-20260727,22f1ef1cdde1fc6fedd9029786b939f5e964727d,ky46738-ops,89837369360,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218759144,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218759144/job/89837369360
45,VERIFIED_TRUE,PR #6,30218759917,97,1,dynamic,completed,success,2026-07-26T20:20:26Z,2026-07-26T20:21:29Z,refs/pull/6/head,1587c73e4c37dd7d810c313803d7d02f429ee564,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218759917,
46,VERIFIED_TRUE,Gatekeeper,30218760666,138,1,push,completed,failure,2026-07-26T20:20:27Z,2026-07-26T20:20:35Z,agent/open-source-upload-evidence-20260727,e443d0a9ab9af5e476d215f4eefc1e3633c64be1,ky46738-ops,89837373572,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218760666,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218760666/job/89837373572
47,VERIFIED_TRUE,Python Package using Conda,30218760628,115,1,push,completed,failure,2026-07-26T20:20:27Z,2026-07-26T20:20:54Z,agent/open-source-upload-evidence-20260727,e443d0a9ab9af5e476d215f4eefc1e3633c64be1,ky46738-ops,89837373443,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218760628,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218760628/job/89837373443
48,VERIFIED_TRUE,Gatekeeper,30218761252,139,1,pull_request,completed,failure,2026-07-26T20:20:28Z,2026-07-26T20:20:36Z,agent/open-source-upload-evidence-20260727,e443d0a9ab9af5e476d215f4eefc1e3633c64be1,ky46738-ops,89837375141,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218761252,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218761252/job/89837375141
49,VERIFIED_TRUE,PR #6,30218761144,98,1,dynamic,completed,success,2026-07-26T20:20:28Z,2026-07-26T20:21:21Z,refs/pull/6/head,e443d0a9ab9af5e476d215f4eefc1e3633c64be1,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218761144,
50,VERIFIED_TRUE,PR #6,30218761979,99,1,dynamic,completed,success,2026-07-26T20:20:29Z,2026-07-26T20:21:29Z,refs/pull/6/head,bd800d6128eadeb7174a921f8e480331585bc04a,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218761979,
51,VERIFIED_TRUE,Gatekeeper,30218761587,140,1,push,completed,failure,2026-07-26T20:20:29Z,2026-07-26T20:20:36Z,agent/open-source-upload-evidence-20260727,bd800d6128eadeb7174a921f8e480331585bc04a,ky46738-ops,89837375924,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218761587,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218761587/job/89837375924
52,VERIFIED_TRUE,Python Package using Conda,30218761583,116,1,push,completed,failure,2026-07-26T20:20:29Z,2026-07-26T20:20:51Z,agent/open-source-upload-evidence-20260727,bd800d6128eadeb7174a921f8e480331585bc04a,ky46738-ops,89837375871,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218761583,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218761583/job/89837375871
53,VERIFIED_TRUE,PR #6,30218762905,100,1,dynamic,completed,success,2026-07-26T20:20:31Z,2026-07-26T20:21:24Z,refs/pull/6/head,7b77a9b428365394c4255527ac8cdfb8a186c351,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218762905,
